q	phi	n_nr	rank_minus1	is_max	V_minus1	argmax_m	V_argmax	margin
1123	1122	561	1	1	11892.908527	561	11892.908527	732.587518
1151	1150	575	1	1	12243.096999	575	12243.096999	1143.472230
1163	1162	581	1	1	12420.064637	581	12420.064637	810.189732
1171	1170	585	1	1	12515.332524	585	12515.332524	776.672942
1187	1186	593	1	1	12712.544703	593	12712.544703	824.784174
1223	1222	611	1	1	13144.975527	611	13144.975527	903.443564
1231	1230	615	1	1	13266.436748	615	13266.436748	783.181065
1259	1258	629	1	1	13634.170486	629	13634.170486	861.316182
1279	1278	639	1	1	13897.738983	639	13897.738983	832.003778
1283	1282	641	1	1	13926.846175	641	13926.846175	874.843851
1291	1290	645	1	1	14034.332641	645	14034.332641	836.392165
1303	1302	651	1	1	14199.633888	651	14199.633888	844.020680
1307	1306	653	1	1	14256.354191	653	14256.354191	907.998709
1319	1318	659	1	1	14399.792814	659	14399.792814	1298.097569
1327	1326	663	1	1	14492.530028	663	14492.530028	860.869452
1367	1366	683	1	1	15015.373633	683	15015.373633	985.299558
1399	1398	699	1	1	15459.436275	699	15459.436275	920.635625
1423	1422	711	1	1	15737.623702	711	15737.623702	938.923562
1427	1426	713	1	1	15796.328987	713	15796.328987	952.578391
1439	1438	719	1	1	15945.543593	719	15945.543593	1181.956602
1447	1446	723	1	1	16068.875778	723	16068.875778	929.282340
1451	1450	725	1	1	16090.675066	725	16090.675066	983.881529
1459	1458	729	1	1	16239.669563	729	16239.669563	971.456538
1471	1470	735	1	1	16375.640148	735	16375.640148	953.131463
1483	1482	741	1	1	16539.087646	741	16539.087646	957.906264
1487	1486	743	1	1	16583.908073	743	16583.908073	1097.240467
1499	1498	749	1	1	16729.249335	749	16729.249335	1033.382804
1511	1510	755	1	1	16900.627907	755	16900.627907	1440.932730
1523	1522	761	1	1	17078.382878	761	17078.382878	1059.760299
1531	1530	765	1	1	17183.705457	765	17183.705457	992.644827
1543	1542	771	1	1	17337.844211	771	17337.844211	1010.595239
1559	1558	779	1	1	17523.448355	779	17523.448355	1639.787049
1567	1566	783	1	1	17635.350529	783	17635.350529	1011.835296
1571	1570	785	1	1	17698.582376	785	17698.582376	1073.119961
1579	1578	789	1	1	17801.255001	789	17801.255001	1022.742604
1583	1582	791	1	1	17850.927307	791	17850.927307	1171.760702
1607	1606	803	1	1	18187.935100	803	18187.935100	1169.823779
1619	1618	809	1	1	18339.403659	809	18339.403659	1116.307921
1627	1626	813	1	1	18463.849874	813	18463.849874	1063.761813
1663	1662	831	1	1	18910.395233	831	18910.395233	1048.672894
1667	1666	833	1	1	18969.993784	833	18969.993784	1123.176838
1699	1698	849	1	1	19417.211277	849	19417.211277	1115.465135
1723	1722	861	1	1	19739.941800	861	19739.941800	1130.663317
1747	1746	873	1	1	20056.048632	873	20056.048632	1141.351163
1759	1758	879	1	1	20241.159586	879	20241.159586	1157.928073
1783	1782	891	1	1	20533.325591	891	20533.325591	1159.796478
