# GATE-2 corridor-law sweep (M1 q=18-210 + M2 q=212-420), 2026-06-05. n_trapped=0 ALL q => no-island/value-safe q<=420.
q,lam,thr,Lmax,peak_below,margin,margin*q^2,n_trapped,n_sub
164,1.9996330569,0.1250688271,45,0.1250680286,7.985e-07,0.02148,0,6798
166,1.9996418453,0.1250671781,46,0.1250663619,8.162e-07,0.02249,0,6796
168,1.9996503218,0.1250655876,46,0.1250647543,8.333e-07,0.02352,0,6794
170,1.9996585009,0.1250640530,48,0.1250632031,8.498e-07,0.02456,0,6794
172,1.9996663964,0.1250625716,48,0.1250619121,6.595e-07,0.01951,0,6794
174,1.9996740211,0.1250611410,49,0.1250604641,6.768e-07,0.02049,0,6792
176,1.9996813875,0.1250597589,49,0.1250588626,8.962e-07,0.02776,0,6790
178,1.9996885069,0.1250584232,51,0.1250582922,1.309e-07,0.00415,0,6790
180,1.9996953903,0.1250571317,51,0.1250562070,9.247e-07,0.02996,0,6786
182,1.9997020481,0.1250558826,52,0.1250549443,9.383e-07,0.03108,0,6786
184,1.9997084899,0.1250546741,52,0.1250537226,9.514e-07,0.03221,0,6786
186,1.9997147251,0.1250535043,54,0.1250528624,6.419e-07,0.02221,0,6786
188,1.9997207624,0.1250523717,54,0.1250514347,9.370e-07,0.03312,0,6784
190,1.9997266100,0.1250512746,55,0.1250508825,3.922e-07,0.01416,0,6785
192,1.9997322758,0.1250502117,56,0.1250492116,1.000e-06,0.03687,0,6785
194,1.9997377673,0.1250491815,57,0.1250481702,1.011e-06,0.03806,0,6785
196,1.9997430916,0.1250481827,58,0.1250471604,1.022e-06,0.03927,0,6785
198,1.9997482553,0.1250472140,58,0.1250461811,1.033e-06,0.04049,0,6785
200,1.9997532650,0.1250462742,60,0.1250452310,1.043e-06,0.04173,0,6785
202,1.9997581265,0.1250453622,61,0.1250452162,1.461e-07,0.00596,0,6785
204,1.9997628458,0.1250444770,61,0.1250434507,1.026e-06,0.04271,0,6785
206,1.9997674283,0.1250436173,63,0.1250434507,1.666e-07,0.00707,0,6785
208,1.9997718792,0.1250427824,63,0.1250422743,5.081e-07,0.02198,0,6783
210,1.9997762036,0.1250419712,64,0.1250417765,1.947e-07,0.00859,0,6781
212,1.9997804062,0.1250411829,65,0.1250406462,5.367e-07,0.02412,0,6777
214,1.9997844915,0.1250404166,66,0.1250393089,1.108e-06,0.05073,0,6776
216,1.9997884639,0.1250396714,67,0.1250389259,7.456e-07,0.03478,0,6776
218,1.9997923274,0.1250389467,68,0.1250389259,2.083e-08,0.00099,0,6776
220,1.9997960860,0.1250382417,69,0.1250377515,4.902e-07,0.02373,0,6774
222,1.9997997435,0.1250375556,70,0.1250375025,5.306e-08,0.00262,0,6775
224,1.9998033035,0.1250368878,71,0.1250361657,7.221e-07,0.03623,0,6774
226,1.9998067694,0.1250362377,72,0.1250361657,7.201e-08,0.00368,0,6773
228,1.9998101445,0.1250356047,73,0.1250344438,1.161e-06,0.06035,0,6771
230,1.9998134319,0.1250349880,74,0.1250343105,6.775e-07,0.03584,0,6771
232,1.9998166347,0.1250343873,75,0.1250343105,7.676e-08,0.00413,0,6771
234,1.9998197557,0.1250338019,76,0.1250334961,3.058e-07,0.01675,0,6769
236,1.9998227977,0.1250332313,77,0.1250320440,1.187e-06,0.06613,0,6765
238,1.9998257633,0.1250326751,78,0.1250314816,1.193e-06,0.06760,0,6765
240,1.9998286551,0.1250321327,79,0.1250309332,1.199e-06,0.06909,0,6765
242,1.9998314756,0.1250316037,80,0.1250303983,1.205e-06,0.07059,0,6765
244,1.9998342269,0.1250310876,81,0.1250298765,1.211e-06,0.07210,0,6765
246,1.9998369114,0.1250305841,82,0.1250299550,6.291e-07,0.03807,0,6765
248,1.9998395312,0.1250300927,84,0.1250296499,4.428e-07,0.02723,0,6765
250,1.9998420884,0.1250296131,84,0.1250294324,1.807e-07,0.01130,0,6763
252,1.9998445850,0.1250291448,85,0.1250279121,1.233e-06,0.07828,0,6763
254,1.9998470228,0.1250286876,87,0.1250278082,8.795e-07,0.05674,0,6763
256,1.9998494037,0.1250282411,88,0.1250276648,5.763e-07,0.03777,0,6763
258,1.9998517294,0.1250278049,89,0.1250265571,1.248e-06,0.08305,0,6763
260,1.9998540017,0.1250273787,90,0.1250261262,1.252e-06,0.08467,0,6763
262,1.9998562222,0.1250269622,91,0.1250261527,8.096e-07,0.05557,0,6763
264,1.9998583923,0.1250265552,93,0.1250257133,8.419e-07,0.05868,0,6763
266,1.9998605137,0.1250261573,94,0.1250257133,4.440e-07,0.03142,0,6763
268,1.9998625878,0.1250257683,94,0.1250257133,5.501e-08,0.00395,0,6763
270,1.9998646160,0.1250253879,96,0.1250241132,1.275e-06,0.09293,0,6761
272,1.9998665996,0.1250250159,97,0.1250237370,1.279e-06,0.09462,0,6761
274,1.9998685399,0.1250246520,98,0.1250242409,4.111e-07,0.03086,0,6761
276,1.9998704382,0.1250242960,99,0.1250235414,7.546e-07,0.05748,0,6761
278,1.9998722957,0.1250239476,100,0.1250235414,4.062e-07,0.03139,0,6761
280,1.9998741135,0.1250236067,102,0.1250235414,6.530e-08,0.00512,0,6761
282,1.9998758928,0.1250232730,103,0.1250219745,1.298e-06,0.10326,0,6759
284,1.9998776346,0.1250229463,105,0.1250216442,1.302e-06,0.10502,0,6759
286,1.9998793400,0.1250226265,106,0.1250217492,8.773e-07,0.07176,0,6759
288,1.9998810100,0.1250223133,107,0.1250210040,1.309e-06,0.10859,0,6759
290,1.9998826456,0.1250220065,108,0.1250207360,1.271e-06,0.10685,0,6759
292,1.9998842476,0.1250217061,109,0.1250207360,9.701e-07,0.08272,0,6759
294,1.9998858171,0.1250214117,111,0.1250207360,6.757e-07,0.05841,0,6759
296,1.9998873549,0.1250211233,112,0.1250207360,3.874e-07,0.03394,0,6759
298,1.9998888618,0.1250208407,113,0.1250207360,1.048e-07,0.00930,0,6759
300,1.9998903387,0.1250205637,55,0.1250192348,1.329e-06,0.11960,0,6757
302,1.9998917864,0.1250202923,53,0.1250189603,1.332e-06,0.12148,0,6757
304,1.9998932055,0.1250200261,53,0.1250189260,1.100e-06,0.10166,0,6757
306,1.9998945970,0.1250197652,54,0.1250189261,8.391e-07,0.07857,0,6757
308,1.9998959614,0.1250195093,55,0.1250194637,4.552e-08,0.00432,0,6757
310,1.9998972995,0.1250192583,55,0.1250189260,3.323e-07,0.03193,0,6757
312,1.9998986119,0.1250190122,55,0.1250189260,8.615e-08,0.00839,0,6757
314,1.9998998994,0.1250187707,56,0.1250174217,1.349e-06,0.13301,0,6755
316,1.9999011624,0.1250185339,56,0.1250171821,1.352e-06,0.13498,0,6755
318,1.9999024018,0.1250183015,57,0.1250169471,1.354e-06,0.13696,0,6755
320,1.9999036179,0.1250180734,57,0.1250167164,1.357e-06,0.13895,0,6755
322,1.9999048115,0.1250178495,58,0.1250173587,4.908e-07,0.05089,0,6755
324,1.9999059830,0.1250176298,58,0.1250162679,1.362e-06,0.14297,0,6755
326,1.9999071330,0.1250174142,59,0.1250160498,1.364e-06,0.14500,0,6755
328,1.9999082621,0.1250172024,59,0.1250171774,2.503e-08,0.00269,0,6755
330,1.9999093707,0.1250169945,60,0.1250156254,1.369e-06,0.14910,0,6755
332,1.9999104593,0.1250167904,60,0.1250154189,1.371e-06,0.15117,0,6755
334,1.9999115285,0.1250165899,61,0.1250152162,1.374e-06,0.15324,0,6755
336,1.9999125785,0.1250163930,62,0.1250150347,1.358e-06,0.15335,0,6755
338,1.9999136101,0.1250161995,62,0.1250150347,1.165e-06,0.13307,0,6755
340,1.9999146234,0.1250160095,62,0.1250150347,9.748e-07,0.11268,0,6755
342,1.9999156190,0.1250158228,63,0.1250150347,7.881e-07,0.09217,0,6755
344,1.9999165974,0.1250156393,64,0.1250150347,6.046e-07,0.07155,0,6755
346,1.9999175588,0.1250154590,64,0.1250150347,4.243e-07,0.05080,0,6755
348,1.9999185036,0.1250152818,65,0.1250150347,2.472e-07,0.02993,0,6755
350,1.9999194323,0.1250151077,65,0.1250150347,7.298e-08,0.00894,0,6755
352,1.9999203453,0.1250149365,65,0.1250135440,1.392e-06,0.17253,0,6753
354,1.9999212428,0.1250147681,66,0.1250133738,1.394e-06,0.17473,0,6753
356,1.9999221252,0.1250146027,67,0.1250142373,3.653e-07,0.04630,0,6753
358,1.9999229929,0.1250144399,67,0.1250130419,1.398e-06,0.17918,0,6753
360,1.9999238461,0.1250142799,68,0.1250128801,1.400e-06,0.18141,0,6753
362,1.9999246853,0.1250141226,69,0.1250128175,1.305e-06,0.17102,0,6753
364,1.9999255106,0.1250139678,69,0.1250135237,4.441e-07,0.05884,0,6753
366,1.9999263225,0.1250138155,69,0.1250128175,9.980e-07,0.13369,0,6753
368,1.9999271212,0.1250136658,70,0.1250128175,8.482e-07,0.11487,0,6753
370,1.9999279069,0.1250135184,71,0.1250128175,7.010e-07,0.09596,0,6753
372,1.9999286800,0.1250133735,71,0.1250128175,5.559e-07,0.07693,0,6753
374,1.9999294407,0.1250132308,72,0.1250128175,4.133e-07,0.05781,0,6753
376,1.9999301894,0.1250130904,72,0.1250128175,2.729e-07,0.03858,0,6753
378,1.9999309262,0.1250129522,73,0.1250128175,1.347e-07,0.01925,0,6753
380,1.9999316513,0.1250128163,73,0.1250113998,1.416e-06,0.20454,0,6751
382,1.9999323651,0.1250126824,74,0.1250112644,1.418e-06,0.20692,0,6751
384,1.9999330678,0.1250125506,75,0.1250111312,1.419e-06,0.20930,0,6751
386,1.9999337596,0.1250124209,75,0.1250113828,1.038e-06,0.15468,0,6751
388,1.9999344408,0.1250122932,75,0.1250108709,1.422e-06,0.21411,0,6751
390,1.9999351114,0.1250121674,76,0.1250107437,1.424e-06,0.21654,0,6751
392,1.9999357719,0.1250120435,77,0.1250106184,1.425e-06,0.21900,0,6751
394,1.9999364223,0.1250119216,77,0.1250104951,1.426e-06,0.22144,0,6751
396,1.9999370628,0.1250118015,78,0.1250103735,1.428e-06,0.22392,0,6751
398,1.9999376938,0.1250116831,78,0.1250102539,1.429e-06,0.22640,0,6751
400,1.9999383153,0.1250115666,79,0.1250101360,1.431e-06,0.22890,0,6751
402,1.9999389275,0.1250114518,79,0.1250113692,8.263e-08,0.01335,0,6751
404,1.9999395307,0.1250113387,80,0.1250111389,1.998e-07,0.03261,0,6751
406,1.9999401250,0.1250112272,81,0.1250097928,1.434e-06,0.23645,0,6751
408,1.9999407106,0.1250111174,81,0.1250105099,6.075e-07,0.10113,0,6751
410,1.9999412876,0.1250110092,82,0.1250100690,9.403e-07,0.15806,0,6751
412,1.9999418562,0.1250109026,82,0.1250094644,1.438e-06,0.24412,0,6751
414,1.9999424166,0.1250107975,83,0.1250094239,1.374e-06,0.23544,0,6751
416,1.9999429690,0.1250106939,84,0.1250098415,8.524e-07,0.14752,0,6751
418,1.9999435134,0.1250105918,84,0.1250094239,1.168e-06,0.20407,0,6751
420,1.9999440501,0.1250104912,85,0.1250094239,1.067e-06,0.18827,0,6751
