q	a	window	K_zeros_per_character	n_points	correlation	rmse	endpoint_error
19	2	top_decade	25	53	0.94344495258	1.42303619177	1.01873123041
19	2	top_decade	50	53	0.971472174205	1.05489676292	0.606817513738
19	2	top_decade	100	53	0.982589638681	0.85985932677	0.786774476984
19	3	top_decade	25	53	0.971090299822	1.5385360976	0.684060468595
19	3	top_decade	50	53	0.981501608892	1.34510236556	0.361468227491
19	3	top_decade	100	53	0.987972154067	1.19204188332	0.333011484311
19	8	top_decade	25	53	0.93153175334	1.51152442176	-0.442863042508
19	8	top_decade	50	53	0.965127130107	1.14019827475	0.287471719731
19	8	top_decade	100	53	0.978322926524	0.947539709117	0.164488075441
19	10	top_decade	25	53	0.922666385628	1.40914968234	0.499564234072
19	10	top_decade	50	53	0.952144017682	1.21754928307	0.675418279701
19	10	top_decade	100	53	0.957981797236	1.17839066448	0.789481034914
19	12	top_decade	25	53	0.961855770916	1.32251415884	-0.197535280886
19	12	top_decade	50	53	0.981441157045	0.944321702541	0.597958810723
19	12	top_decade	100	53	0.988495586967	0.764266006767	0.488251391583
19	13	top_decade	25	53	0.951655324086	1.25664036362	0.175637972223
19	13	top_decade	50	53	0.966604126352	1.09329346349	0.327426977971
19	13	top_decade	100	53	0.980683079233	0.920767026475	0.535812643845
19	14	top_decade	25	53	0.953214641883	1.58920179553	1.43938035723
19	14	top_decade	50	53	0.975925758437	1.17953658982	1.48616492079
19	14	top_decade	100	53	0.985515337827	0.943750646812	1.4439332227
19	15	top_decade	25	53	0.935091075002	1.21849117424	0.0315708841666
19	15	top_decade	50	53	0.94968625184	1.07121607832	0.82604165193
19	15	top_decade	100	53	0.973163079977	0.808368762079	-0.0936199060115
19	18	top_decade	25	53	0.971455692158	1.74492038408	-1.72982518312
19	18	top_decade	50	53	0.986558843853	1.41248982296	-0.526978147898
19	18	top_decade	100	53	0.992474652817	1.2521546704	-0.531556489463
