q	x	minus_one_rank	minus_one_tie_size	leaders	D_minus_one
7	6571806728266	2	1	5	23181
7	6881418856717	3	1	5	2717
7	7900555435372	2	1	5	29537
7	9070625911176	1	1	6	27050
7	9497962853795	2	1	5	50649
7	9945432570527	2	1	3	37479
7	10000000000000	1	1	6	39282
7	11418348888254	2	1	3	16268
7	11956292173695	1	1	6	25702
7	12519579138962	2	1	5	25976
7	14373725982157	1	1	6	42432
7	19839093985085	2	1	5	87761
7	20773756912534	1	1	6	80592
7	21752453846202	2	1	3	23503
7	22777259324031	3	1	3	92761
7	23850345619961	1	1	6	132349
7	27382576420175	3	1	5	26649
7	28672629234945	3	1	3	56694
7	30023459247572	3	1	5	12453
7	31437929804219	3	1	3	78765
7	32919039149526	2	1	3	51341
7	36093880108624	1	1	6	122521
7	45435951151211	2	1	3	40998
7	49817972086731	3	1	3	85343
7	52165005255944	2	1	3	46473
7	54622612269628	3	1	3	61934
7	57196002502427	2	1	3	69668
7	59890630753972	3	1	5	33354
7	82663037672284	1	1	6	7253
7	86557473418223	3	1	3	28140
7	99376615684263	3	1	5	51319
7	104058464492742	2	1	5	139002
7	150391432864885	1	1	6	218759
7	157476700821694	3	1	5	152858
7	164895771183756	2	1	3	166812
7	172664370109409	1	1	6	381622
7	273611806631400	3	1	5	62082
7	300000000000000	1	1	6	324843
8	1000000	1	1	7	117
8	1202189	2	1	5	90
8	1318133	3	1	3	88
8	1445259	3	1	5	101
8	1513348	1	1	7	115
8	1584645	2	1	5	113
8	1659302	3	1	3	79
8	1737475	2	1	5	103
8	2290223	1	1	7	149
8	3161042	2	1	3	115
8	3979205	3	1	3	109
8	4166674	3	1	5	112
8	4362975	2	1	5	124
8	5009131	3	1	3	113
8	5245122	3	1	5	186
8	5492231	1	1	7	188
8	5750982	3	1	3	142
8	6913769	3	1	5	148
8	7580560	3	1	3	228
8	8703239	1	1	7	281
8	12012499	2	1	5	210
8	15834073	1	1	7	304
8	16580050	3	1	3	198
8	17361172	2	1	3	322
8	18179095	3	1	3	274
8	19932358	2	1	3	239
8	21854713	3	1	3	290
8	22884336	2	2	3	370
8	25091391	3	1	3	324
8	27511303	2	1	3	247
8	28807420	1	1	7	309
8	30164600	2	1	3	283
8	31585720	1	2	5,7	285
8	33073793	1	1	7	331
8	34631971	2	1	3	392
8	37972014	3	1	5	343
8	43595660	2	1	3	346
8	45649547	1	1	7	394
8	50052168	3	1	5	285
8	52410235	1	1	7	431
8	75746363	3	1	5	602
8	86964383	3	1	3	463
8	91061464	3	1	5	602
8	95351568	2	1	5	558
8	99843788	3	1	3	429
8	120031129	1	1	7	763
8	131607401	3	1	3	293
8	137807713	2	1	5	597
8	144300134	1	1	7	614
8	151098428	2	1	5	697
8	158217004	1	1	7	778
8	165670951	2	1	3	733
8	218376363	3	1	3,5	663
8	228664549	2	1	3	745
8	239437434	3	1	3	742
8	262529718	3	1	5	906
8	274898064	2	1	5	1002
8	362352235	1	1	7	1176
8	397298903	2	1	5	1281
8	435615964	1	1	7	1724
8	456138781	3	1	5	1424
8	477628472	2	1	3	1647
8	500130590	1	1	7	2206
8	659238680	2	1	3	1398
8	690296850	1	1	7	1328
8	756871780	3	1	3	1537
8	792529658	2	1	5	1453
8	868964320	3	1	3	1580
8	909903122	3	1	5	1206
8	997657739	3	1	3	555
8	1199373415	2	1	3	1896
8	1377000346	1	1	7	2575
8	1441873832	3	1	3	2923
8	1509803648	2	1	3	2545
8	1580933787	2	1	5	2183
8	1655415021	1	1	7	3308
8	2182057319	2	1	5	3503
8	2392503466	3	1	5	1971
8	2623245863	2	1	5	2846
8	2746832689	3	1	5	2657
8	2876241959	2	1	5	2964
8	3011747983	3	1	5	1673
8	3457787179	1	1	7	4372
8	3791269706	2	1	3	3418
8	4156914593	3	1	3	2647
8	4352755893	2	1	5	3433
8	4557823704	2	1	3	3781
8	4997398058	3	1	3	2391
8	5479366683	2	1	3	3463
8	5737511582	3	1	3	2618
8	6290859651	2	1	5	2018
8	6897574775	1	1	7	3957
8	7222534545	3	1	3	3372
8	7562803878	1	1	7	4310
8	9091921561	3	1	5	4401
8	9520261788	1	1	7	5962
8	10438433091	2	1	5	4895
8	11984362674	1	1	7	8546
8	12548972102	3	1	5	6703
8	13140181510	3	1	3	5649
8	13759244080	3	1	5	6636
8	15796985021	2	1	5	7357
8	16541215392	2	1	3	7204
8	17320508076	2	1	5	5407
8	18990965656	3	1	5	1941
8	19885671410	3	1	3	3225
8	20822528702	1	1	7	5972
8	23906340500	2	1	5	5564
8	25032620269	1	1	7	5954
8	27446864129	3	1	3	7693
8	28739945678	2	1	3	6042
8	32996325143	1	1	7	6945
8	34550853887	2	1	3	6858
8	41536665297	3	1	5	8864
8	47688236048	2	1	5	9040
8	52287476152	1	1	7	15067
8	54750853037	2	1	5	13168
8	60031239563	3	1	5	10945
8	65820887229	2	1	5	10857
8	68921852585	3	1	5	7884
8	75568945763	2	1	5	11610
8	79129163388	1	1	7	17741
8	82857110620	2	1	5	17116
8	86760689565	1	1	7	19097
8	130000000000	3	1	5	8937
8	143962145579	3	1	3	11626
8	150744515809	3	1	5	17846
8	157846418272	3	1	3	12206
8	181223437172	2	1	3	12460
8	198701334642	3	1	5	5797
8	217864868942	3	1	3	18510
8	238876609483	2	1	3	19966
8	274254181402	1	1	7	26909
8	434595637780	2	1	5	30439
8	455070384831	3	1	5	20729
8	498959153590	2	1	5	26266
8	522466206056	1	1	7	32294
8	547080726961	2	1	5	37674
8	599843333185	3	1	5	31522
8	628103259078	2	1	3	35570
8	657694571630	1	1	7	41572
8	721125209903	3	1	3	43177
8	755098989162	3	1	5	41634
8	790673347157	3	1	3	33797
8	950539002253	2	1	3	27340
