q	a	window	K_zeros_per_character	n_points	correlation	rmse	endpoint_error
23	17	x_ge_1e10	10	234	0.933092104	2.03245013	-0.194414077
23	17	x_ge_1e10	25	234	0.96614857	1.45918047	-0.422994963
23	17	x_ge_1e13	1	78	0.462348664	4.55555639	-2.86037878
23	17	x_ge_1e13	3	78	0.86017741	2.62258206	0.367384599
23	17	x_ge_1e13	10	78	0.926510346	1.93485959	-0.194414077
23	17	x_ge_1e13	25	78	0.954834583	1.53014165	-0.422994963
23	17	top_decade	1	53	0.166581375	4.14818707	-2.86037878
23	17	top_decade	3	53	0.715567861	2.8241601	0.367384599
23	17	top_decade	10	53	0.85626678	2.08638479	-0.194414077
23	17	top_decade	25	53	0.911812597	1.6570374	-0.422994963
23	19	full	1	438	0.773854199	4.05023828	-2.00645666
23	19	full	3	438	0.908450352	2.67878829	0.386163728
23	19	full	10	438	0.955422554	1.90628998	-0.803216545
23	19	full	25	438	0.974565004	1.45739504	-0.448137372
23	19	x_ge_1e10	1	234	0.733514138	4.12330139	-2.00645666
23	19	x_ge_1e10	3	234	0.901650883	2.62311987	0.386163728
23	19	x_ge_1e10	10	234	0.951029381	1.88659149	-0.803216545
23	19	x_ge_1e10	25	234	0.973769923	1.39443297	-0.448137372
23	19	x_ge_1e13	1	78	0.578789804	4.49033109	-2.00645666
23	19	x_ge_1e13	3	78	0.880491373	2.60832854	0.386163728
23	19	x_ge_1e13	10	78	0.947429687	1.78129618	-0.803216545
23	19	x_ge_1e13	25	78	0.966339794	1.43869587	-0.448137372
23	19	top_decade	1	53	0.72964331	3.10763991	-2.00645666
23	19	top_decade	3	53	0.892923036	2.03065341	0.386163728
23	19	top_decade	10	53	0.935548119	1.60615927	-0.803216545
23	19	top_decade	25	53	0.952246473	1.39961187	-0.448137372
23	20	full	1	438	0.78296247	3.32177386	-6.85031978
23	20	full	3	438	0.883109115	2.51057458	-3.04048217
23	20	full	10	438	0.935707432	1.90057656	-3.18823269
23	20	full	25	438	0.964402648	1.43796491	-2.72885954
23	20	x_ge_1e10	1	234	0.758265781	3.60033674	-6.85031978
23	20	x_ge_1e10	3	234	0.882926378	2.59269352	-3.04048217
23	20	x_ge_1e10	10	234	0.939204405	1.90578564	-3.18823269
23	20	x_ge_1e10	25	234	0.969300217	1.37200663	-2.72885954
23	20	x_ge_1e13	1	78	0.716199816	3.84166116	-6.85031978
23	20	x_ge_1e13	3	78	0.891067073	2.50014885	-3.04048217
23	20	x_ge_1e13	10	78	0.942862015	1.88096491	-3.18823269
23	20	x_ge_1e13	25	78	0.967623549	1.4663523	-2.72885954
23	20	top_decade	1	53	0.819397555	3.1690596	-6.85031978
23	20	top_decade	3	53	0.902770483	2.40905456	-3.04048217
23	20	top_decade	10	53	0.954092346	1.74075397	-3.18823269
23	20	top_decade	25	53	0.964701477	1.55865321	-2.72885954
23	21	full	1	438	0.827378559	3.47457144	-6.15629161
23	21	full	3	438	0.9129334	2.53168565	-4.19666905
23	21	full	10	438	0.953550218	1.88228128	-3.44025831
23	21	full	25	438	0.970581989	1.51213474	-1.12551786
23	21	x_ge_1e10	1	234	0.791795326	3.64043482	-6.15629161
23	21	x_ge_1e10	3	234	0.90464895	2.55176675	-4.19666905
23	21	x_ge_1e10	10	234	0.950248688	1.88417617	-3.44025831
23	21	x_ge_1e10	25	234	0.968492946	1.51279107	-1.12551786
23	21	x_ge_1e13	1	78	0.723451892	3.51068192	-6.15629161
23	21	x_ge_1e13	3	78	0.884170506	2.40067839	-4.19666905
23	21	x_ge_1e13	10	78	0.923345883	2.00056141	-3.44025831
23	21	x_ge_1e13	25	78	0.950416139	1.6304205	-1.12551786
23	21	top_decade	1	53	0.636151884	3.31485107	-6.15629161
23	21	top_decade	3	53	0.846147237	2.26667579	-4.19666905
23	21	top_decade	10	53	0.904940332	1.82902685	-3.44025831
23	21	top_decade	25	53	0.939427308	1.50313527	-1.12551786
23	22	full	1	438	0.805586869	3.59341998	-6.48946544
23	22	full	3	438	0.896107517	2.69097526	-4.84363978
23	22	full	10	438	0.943738063	2.01438917	-3.16650786
23	22	full	25	438	0.969280178	1.50782412	-2.32153549
23	22	x_ge_1e10	1	234	0.708806542	3.52406315	-6.48946544
23	22	x_ge_1e10	3	234	0.865518843	2.50254859	-4.84363978
23	22	x_ge_1e10	10	234	0.91604994	2.00902915	-3.16650786
23	22	x_ge_1e10	25	234	0.959489574	1.41901952	-2.32153549
23	22	x_ge_1e13	1	78	0.31526736	3.09633773	-6.48946544
23	22	x_ge_1e13	3	78	0.658513846	2.27235099	-4.84363978
23	22	x_ge_1e13	10	78	0.783861408	1.87597602	-3.16650786
23	22	x_ge_1e13	25	78	0.852988525	1.58088493	-2.32153549
23	22	top_decade	1	53	0.0380186436	3.1745378	-6.48946544
23	22	top_decade	3	53	0.576842782	2.50470416	-4.84363978
23	22	top_decade	10	53	0.740395797	2.06055822	-3.16650786
23	22	top_decade	25	53	0.826435845	1.72780595	-2.32153549
