# primesieve INDEPENDENT frontier cross-check of mr1_par; LIMIT=300000000000000
# schema: N<TAB>x<TAB>a<TAB>count  and  TOTAL<TAB>N<TAB>x<TAB>pi_x
7	13000000000000	0	1
7	13000000000000	1	74305258152
7	13000000000000	2	74305258748
7	13000000000000	3	74305247205
7	13000000000000	4	74305256208
7	13000000000000	5	74305306016
7	13000000000000	6	74305284281
TOTAL	7	13000000000000	445831610611
8	13000000000000	0	0
8	13000000000000	1	111457804047
8	13000000000000	2	1
8	13000000000000	3	111457906775
8	13000000000000	4	0
8	13000000000000	5	111457930790
8	13000000000000	6	0
8	13000000000000	7	111457968998
TOTAL	8	13000000000000	445831610611
11	13000000000000	0	1
11	13000000000000	1	44583143398
11	13000000000000	2	44583148725
11	13000000000000	3	44583127498
11	13000000000000	4	44583198117
11	13000000000000	5	44583129618
11	13000000000000	6	44583173801
11	13000000000000	7	44583150749
11	13000000000000	8	44583218236
11	13000000000000	9	44583165567
11	13000000000000	10	44583154901
TOTAL	11	13000000000000	445831610611
19	13000000000000	0	1
19	13000000000000	1	24768400293
19	13000000000000	2	24768418257
19	13000000000000	3	24768460995
19	13000000000000	4	24768437831
19	13000000000000	5	24768412468
19	13000000000000	6	24768398368
19	13000000000000	7	24768421917
19	13000000000000	8	24768414219
19	13000000000000	9	24768405224
19	13000000000000	10	24768479763
19	13000000000000	11	24768398802
19	13000000000000	12	24768431182
19	13000000000000	13	24768424852
19	13000000000000	14	24768448620
19	13000000000000	15	24768395139
19	13000000000000	16	24768399323
19	13000000000000	17	24768408872
19	13000000000000	18	24768454485
TOTAL	19	13000000000000	445831610611
23	13000000000000	0	1
23	13000000000000	1	20265062351
23	13000000000000	2	20265050677
23	13000000000000	3	20265047997
23	13000000000000	4	20265033834
23	13000000000000	5	20265079273
23	13000000000000	6	20265082902
23	13000000000000	7	20265092009
23	13000000000000	8	20265101252
23	13000000000000	9	20265059064
23	13000000000000	10	20265105511
23	13000000000000	11	20265055411
23	13000000000000	12	20265124404
23	13000000000000	13	20265041369
23	13000000000000	14	20265060688
23	13000000000000	15	20265039344
23	13000000000000	16	20265037145
23	13000000000000	17	20265048633
23	13000000000000	18	20265058642
23	13000000000000	19	20265141678
23	13000000000000	20	20265093215
23	13000000000000	21	20265117135
23	13000000000000	22	20265078076
TOTAL	23	13000000000000	445831610611
7	13109403780009	0	1
7	13109403780009	1	74909025525
7	13109403780009	2	74909006941
7	13109403780009	3	74909023029
7	13109403780009	4	74909034503
7	13109403780009	5	74909079167
7	13109403780009	6	74909075750
TOTAL	7	13109403780009	449454244916
8	13109403780009	0	0
8	13109403780009	1	112363480055
8	13109403780009	2	1
8	13109403780009	3	112363569522
8	13109403780009	4	0
8	13109403780009	5	112363577181
8	13109403780009	6	0
8	13109403780009	7	112363618157
TOTAL	8	13109403780009	449454244916
11	13109403780009	0	1
11	13109403780009	1	44945408548
11	13109403780009	2	44945412422
11	13109403780009	3	44945387037
11	13109403780009	4	44945456871
11	13109403780009	5	44945404926
11	13109403780009	6	44945442017
11	13109403780009	7	44945423101
11	13109403780009	8	44945464587
11	13109403780009	9	44945431320
11	13109403780009	10	44945414086
TOTAL	11	13109403780009	449454244916
19	13109403780009	0	1
19	13109403780009	1	24969662732
19	13109403780009	2	24969676229
19	13109403780009	3	24969721368
19	13109403780009	4	24969700241
19	13109403780009	5	24969663269
19	13109403780009	6	24969663199
19	13109403780009	7	24969676133
19	13109403780009	8	24969680223
19	13109403780009	9	24969660832
19	13109403780009	10	24969742894
19	13109403780009	11	24969657020
19	13109403780009	12	24969677445
19	13109403780009	13	24969678541
19	13109403780009	14	24969712452
19	13109403780009	15	24969647529
19	13109403780009	16	24969659988
19	13109403780009	17	24969663839
19	13109403780009	18	24969700981
TOTAL	19	13109403780009	449454244916
23	13109403780009	0	1
23	13109403780009	1	20429731940
23	13109403780009	2	20429721970
23	13109403780009	3	20429717763
23	13109403780009	4	20429701425
23	13109403780009	5	20429738265
23	13109403780009	6	20429751406
23	13109403780009	7	20429759538
23	13109403780009	8	20429764380
23	13109403780009	9	20429728888
23	13109403780009	10	20429773689
23	13109403780009	11	20429726476
23	13109403780009	12	20429784371
23	13109403780009	13	20429705069
23	13109403780009	14	20429721629
23	13109403780009	15	20429693920
23	13109403780009	16	20429706773
23	13109403780009	17	20429707447
23	13109403780009	18	20429724493
23	13109403780009	19	20429796379
23	13109403780009	20	20429761420
23	13109403780009	21	20429785088
23	13109403780009	22	20429742586
TOTAL	23	13109403780009	449454244916
7	13727016344541	0	1
7	13727016344541	1	78314382044
7	13727016344541	2	78314361971
7	13727016344541	3	78314375285
7	13727016344541	4	78314407385
7	13727016344541	5	78314429622
7	13727016344541	6	78314423119
TOTAL	7	13727016344541	469886379427
8	13727016344541	0	0
8	13727016344541	1	117471513832
8	13727016344541	2	1
8	13727016344541	3	117471634565
8	13727016344541	4	0
8	13727016344541	5	117471600219
8	13727016344541	6	0
8	13727016344541	7	117471630810
TOTAL	8	13727016344541	469886379427
11	13727016344541	0	1
11	13727016344541	1	46988621756
11	13727016344541	2	46988602609
11	13727016344541	3	46988605144
11	13727016344541	4	46988677044
11	13727016344541	5	46988646710
11	13727016344541	6	46988638575
11	13727016344541	7	46988629475
11	13727016344541	8	46988653465
11	13727016344541	9	46988657559
11	13727016344541	10	46988647089
TOTAL	11	13727016344541	469886379427
19	13727016344541	0	1
19	13727016344541	1	26104768947
19	13727016344541	2	26104810590
19	13727016344541	3	26104865942
19	13727016344541	4	26104807346
19	13727016344541	5	26104785883
19	13727016344541	6	26104789607
19	13727016344541	7	26104800796
19	13727016344541	8	26104807627
19	13727016344541	9	26104755574
19	13727016344541	10	26104870485
19	13727016344541	11	26104761269
19	13727016344541	12	26104768008
19	13727016344541	13	26104812040
19	13727016344541	14	26104834756
19	13727016344541	15	26104777339
19	13727016344541	16	26104772827
19	13727016344541	17	26104779513
19	13727016344541	18	26104810877
TOTAL	19	13727016344541	469886379427
23	13727016344541	0	1
23	13727016344541	1	21358475895
23	13727016344541	2	21358451097
23	13727016344541	3	21358456277
23	13727016344541	4	21358436453
23	13727016344541	5	21358459621
23	13727016344541	6	21358477966
23	13727016344541	7	21358486245
23	13727016344541	8	21358500861
23	13727016344541	9	21358460724
23	13727016344541	10	21358516993
23	13727016344541	11	21358449522
23	13727016344541	12	21358501670
23	13727016344541	13	21358457229
23	13727016344541	14	21358465889
23	13727016344541	15	21358438672
23	13727016344541	16	21358426856
23	13727016344541	17	21358446293
23	13727016344541	18	21358462324
23	13727016344541	19	21358533355
23	13727016344541	20	21358474257
23	13727016344541	21	21358524330
23	13727016344541	22	21358476897
TOTAL	23	13727016344541	469886379427
7	14373725982157	0	1
7	14373725982157	1	81874727068
7	14373725982157	2	81874754304
