index,gamma_refined,abs_zeta_prime_sq,residual
42000,34651.7896478242926670024284119,26.3416964369969639233692201425,1.00286464429022700326075294052e-21
42001,34652.9147673437352619936908944,356.452538421756115164789064311,3.4009238217968605795444693787e-21
42002,34653.9618934737703078242925849,36.1924034109266503527600320429,7.44609752172503649107923191696e-22
42003,34654.2067275752249465110680578,35.1833386139422039580960384538,8.99998958892331562898433466227e-24
42004,34655.2837471679031840140446982,205.66083240068861209168529251,5.16093708900353366554939031801e-21
42005,34656.065019937782094479409739,103.725060799496733469480489735,1.72710462175328170207137499685e-21
42006,34656.9607340187825316648370233,7.37903085633611281394156064492,4.78386423233041473730280793204e-22
42007,34657.2037883654217197943580425,6.19829547433696616592009328067,1.49017896995413952434922661055e-22
42008,34657.9365935246481355438543713,49.4680752537036936810205406009,5.33721593402211742041906161365e-22
42009,34658.7795513288163935419407218,110.138442358916537746151872201,3.68732225184446151513611758648e-21
42010,34659.7157138717682591996357606,61.3715085158728266895301764128,1.39080079824206508203206216599e-21
42011,34660.4766405091603397284114161,9.27166316748702362193982040892,2.04302755167073540504883276718e-23
42012,34660.8717643389770883439777286,5.90806080473214406822386293849,2.08891232911313423860171942456e-22
42013,34661.4068815460017335343251533,17.7466068190933868085891669751,1.66197867563223802054910926084e-21
42014,34662.1366808488433560839058415,84.9818043782988816426834309858,5.00971923450255121359230008221e-22
42015,34662.8467539197237169729862639,396.322016404775235575111616543,4.68219619091742537970972210476e-21
42016,34664.2290130650336070635600926,347.55528639355617989563128712,4.13631406776415471848250583718e-21
42017,34664.8286109438579314825694773,129.806632318879217214427686678,2.03128520185875613850830896837e-21
42018,34665.6972754184605488127745913,34.5379087116866267850932061282,3.54471656359577368509571131931e-22
42019,34666.2115374379275849786124585,15.6783164786408227847822947203,1.17355581922938209788411362262e-21
42020,34666.7622052734789288555817009,25.5839380928326779398704605472,4.75850756876735867902779667693e-22
42021,34667.8005002628273767812755011,8.484261072677121763086242461,8.08030373715769827261372479765e-22
42022,34668.1497141503161747714400637,5.04266724441022800461404322558,1.93849303289126547814463699259e-22
42023,34668.6318294852840481066905781,22.7389842891193766724708618032,4.29615333791049237067091513478e-22
42024,34669.7566571001759108665363418,101.737232240694905822359410734,2.74339860024188642698627446732e-22
42025,34670.4862390418896648287884825,32.2665796569533882064275794033,5.70657567071636167239873925737e-22
42026,34670.8413483795952471219974171,51.3857633458520787533305339169,2.21563917741007164365558197682e-21
42027,34672.0205870249562251538833536,291.815251066303550782752540925,5.29095582338110271563130181943e-21
42028,34672.8905105550916460241978525,63.3883521559262703097842724646,2.89618259066229270347032689185e-21
42029,34673.3751338271157086974226754,39.3097892656268945216888444034,8.48698264791143613153240389946e-22
42030,34674.0214651815044199879592039,80.0520259922276025618283669979,3.45340897742486799698253389241e-21
42031,34674.7946186163339320249307564,202.138011024572571380797510021,1.97355558781659928935190073041e-22
42032,34675.9988246242809770895367438,32.969044390327821252525457679,2.29685832843192606539130372538e-21
42033,34676.3709654496809112938547351,17.8581039223162863594054494693,3.95935719045939927799834384406e-22
42034,34677.2474644605048331874164749,9.61484596069042442238936168045,8.69280715539067394661247076646e-22
42035,34677.6768533013890545762072988,6.13551929259390953020568613239,7.29178317974668352777829733123e-22
42036,34678.1884207910330106559568825,19.538837033924626044885672869,1.60316493784129228928765606193e-21
42037,34679.2395926194412532380929161,30.9126620599838615200462016088,2.26714729225042512395522420258e-21
42038,34679.623995912484093354094499,38.1730052295119090486208424483,6.27010508834774492989124873484e-22
42039,34680.7362125960645446944380065,20.5992816693228692661127381312,7.57689166354726802871518769799e-22
42040,34680.9009342922176226526044221,26.3240658534518049734599675485,7.62823803808044818422818805805e-22
42041,34682.5033707760362872868731083,433.791543144083308828959160592,5.80518246701145358422811622884e-21
42042,34683.3940848252036790196862943,11.0406094147397193835004300262,1.25156583393353726944389904776e-21
42043,34683.6741421761592409823421693,5.94715825301254165981457343787,4.6683118543308499178866351866e-22
42044,34684.2543575995149139228987515,20.7854855820152977346939818576,1.49198684657158484241355905406e-21
42045,34685.1744040107777929617631401,23.467620377907397246235417108,5.49420354214707275271530408253e-23
42046,34685.7549381343802247490703657,11.0849444200640189492451230337,7.79598584511097881260028812705e-22
42047,34686.1507867966021396005845474,24.5074078438698777655951264979,1.11405985204816889398552806809e-21
42048,34687.322530444642312414451624,128.740137161353734972516177233,3.05433610019177313863345229165e-21
42049,34688.1370690645687676276341676,29.119171927909095885706130736,1.98038265911882335974590097493e-21
42050,34688.5944321034212143789391474,20.5369740582884381045966789311,1.74530459610507796220645505373e-21
42051,34689.2195966339990399319319914,53.411189227895954521535579637,3.32631979495572927241174759761e-22
42052,34690.0587147361853350780624289,107.486724703070822271987493998,4.09997698884178052641681503117e-21
42053,34690.6415881728034449417578158,225.316737176872994787141770126,9.43998550784261496287593809587e-23
42054,34691.9180105274123296009398575,190.173130781109330398439969666,4.35681652344985729461579574938e-21
42055,34692.4960934276701782831260047,71.1600928768926846079818598244,3.50811636404943184345564172365e-21
42056,34693.141901869910147728942094,75.0781269536840664306490939566,2.86544921161566712415998814702e-21
42057,34694.1238158177475783955443622,13.1408822010670028688113292159,1.4799178410136468075172263989e-21
42058,34694.4004920183938777877439202,12.5463278231608295053340518035,1.41404634168187287065830450578e-21
42059,34695.5277427726498562308351382,18.5674336610359189775751816427,2.87793033861039723334346941327e-22
42060,34696.1276076050054253143081938,2.13712739691112142243886721438,1.52562808775907638185436317949e-22
42061,34696.3871613043976861889618205,2.423768288326385290638646474,4.50830769585927393565386486014e-22
42062,34697.0395309349716275060235247,31.4597323452703280494183560122,2.07842245369228793366402534851e-21
42063,34697.813784676034406269645099,261.478476989275180747999086147,2.94140604742014103230161519807e-21
42064,34699.0978820824791901628252469,332.810536092965840448592127503,2.67838832092398953392428682851e-21
42065,34699.6982621459846511612284752,186.474237227967472206884564776,1.09541022619390931168886381087e-21
42066,34700.6624061488880798723006347,48.5681923096948209857518538224,1.95377155284240061273146837756e-21
42067,34701.0536773868598847624962012,39.9285433735015981565474011868,1.33586442330549234295951891068e-21
42068,34702.0205255476755555005905158,48.4033248276985213331191582388,2.82702008846314981962208783445e-21
42069,34702.6096813357279084970888294,25.6894596803359877563701842186,1.24240075579335147155049647266e-21
42070,34703.1751497718657396420317727,40.237552823972149630361437562,6.83066084297002731982480827162e-22
42071,34704.0467931072768683095232891,75.1967561823180515235578106989,3.53725316923016903911858175447e-21
42072,34704.8846256306426784784599128,30.3553455065755488795078102763,1.09399744421170593123114430503e-21
42073,34705.3777700554453755886334,25.9751682484870993038146805368,9.36816400818360103885264841317e-22
42074,34706.1620042752460182845714489,42.0076649361393284964832362335,1.83530177272782627675602211499e-21
42075,34706.8399603984204826534718003,43.1952710573208537424284502581,2.49343205012306173536472853e-21
42076,34707.5459563765744195379724234,42.947495282424786043591100281,2.29445841131708216519039772147e-21
42077,34708.0379331499699239708516727,95.4552206771717292555398268606,4.05302548773457727650190200591e-21
42078,34709.1094900142589498684207529,448.587049160609837710237642037,1.23858633162727815209134441313e-21
42079,34709.9197967219312905867577254,415.820408128213324091958749032,1.67193309466526016962961492183e-21
42080,34710.8966803947134127847742729,179.89013000084272200575901012,5.29903103850405394921726968872e-21
42081,34711.8125431969581293147954771,7.65337141552931935809077945784,1.92565271049061212315705369726e-22
42082,34712.1399657760757376551421126,3.5116374461407129363639194143,7.53439834906649669980225629994e-22
42083,34712.845750551389514015292709,0.702947895563476758584550818565,2.98340320673206848193350796231e-23
42084,34712.9729436981232022027866532,0.969064422213760760923170239951,1.63957445409510614285160834165e-22
42085,34714.2493960863106465885260239,68.662157471789151041671667762,2.64886960501435769903859361268e-21
42086,34714.8876665152808645874295084,42.3918086521247889757793755418,2.64679152715733851421353076123e-21
42087,34715.4807033277542509825105236,68.2561848160508950993667849147,8.5519253194902608709928248456e-22
42088,34716.3579146442846026063572267,115.439729167486269431899321838,2.31693183169281328060398762404e-21
42089,34716.9592487145232779487626952,175.220493879543207927475827306,3.52335816464911868173296282372e-22
42090,34717.9448098732627062948389111,322.048628425637509637938991524,5.01724303650645082364453094625e-21
42091,34718.8606482851576002041620069,100.838140242833132759863175416,4.2429202421671880864169536326e-21
42092,34719.5396678622670470018835948,21.0557708377180030456273361435,2.24772816853503944087319133654e-22
42093,34719.9585048100003140227378935,19.5189763685906196708638921306,1.29215210093544998814074607893e-21
42094,34720.6018431140054358819264068,86.4135364959949151126508726401,1.89641682567984413039783003648e-22
42095,34721.7781338049251524123676071,92.3978324087823515990389871819,3.16398382596105056262504108996e-21
42096,34722.4911112979707540869625873,15.48153495224367231986156014,7.76196628699752085297820918299e-22
42097,34722.9194397023681193610658812,12.3012572429490962408855590573,5.32703905343267839814734750313e-22
42098,34723.6789643350522577374477502,20.6652081194599372077208704722,8.6170368468811233641542511738e-22
42099,34724.3158068616001707356357096,21.1669511540037257261917626112,1.65466759067572547581451637941e-21
42100,34724.9919432286199266732439785,21.0540658273596783825133676669,5.89587076740408353883680984266e-22
42101,34725.413290194367912337142445,52.0245622487752859704123873971,1.052972502751469345418459371e-21
42102,34726.4188414546858146453246692,811.143025084226397094973609992,6.48641546385871493214607107042e-21
42103,34727.8743043930272338688158481,78.3035613557597576257915774434,1.24916368821846686405506134396e-21
42104,34728.2696542912539075218119506,23.0067231295651571269270093926,2.0186210863789166618414614753e-21
42105,34728.7709043187384394813072335,40.3759971360966736813377154926,1.07040119276448760949858711609e-21
42106,34729.7897921177159612688592025,36.219344372215661201461684453,1.78674151996595391561892285795e-21
42107,34730.3494224359152468164361416,16.8709927255081768230251428604,9.27854072096317277493447133487e-22
42108,34730.9543726500912906929112068,19.344600933493097267631889565,6.48665616952592977861872060484e-22
42109,34731.7021844800653077315664194,18.8101803666428018750067596992,1.03012422563586218244602115475e-21
42110,34732.2180997452384420612632714,25.6999790912659162763000380836,4.38677635878592067349109314957e-22
42111,34732.8977475413436918012006423,116.697519992054934286314564433,2.31996667847178197915137701459e-21
42112,34734.15804644040052450898968,71.5054806633404641213977068211,6.78396378206317708652446819915e-22
42113,34734.6670922688046944146468594,23.0538512341637261413081007842,5.55617048745788527701914171954e-22
42114,34735.1196503717478669010459518,41.3739719399943582819112261807,1.26893276800629571969019829802e-22
42115,34736.049129122143637305813172,149.51446419695233932069350245,4.64161545347169562244729279968e-21
42116,34736.7190576857222138123092581,223.986345090006652948368973509,5.30800438922108829650281071664e-21
42117,34737.7198355372095409156401871,252.889228295571444827963823417,4.63135801979080989177623785701e-21
42118,34738.5403168220309740579044554,86.7092431288513866332111864583,3.55490037277158674507783897803e-21
42119,34739.3434217713698051768936183,5.30897763534122930927122589304,3.62610803222676799589359985403e-22
42120,34739.5382758510393395297308808,5.69180006240715110835750990914,3.75460414934829086028877519344e-22
42121,34740.8437439722572194274292163,3.0261433280890236746593838377,4.80333558493512029976021237055e-22
42122,34741.026837742292690072961447,2.38821736688867386064052006594,4.8551967249311661696527639487e-22
42123,34741.7690257008677941595927625,20.8297187572544015660874806616,1.07212663545727405299951515083e-21
42124,34742.4468798510548107072340229,42.4415734609883372083171395131,4.65916942337682809781679856186e-22
42125,34743.1991764719858725211010137,79.3321112508779086155852340664,6.9009790450006699542036525258e-22
42126,34743.8261309816226274513051177,191.889148992028758709127670448,4.48510059331581999265089055853e-21
42127,34744.7920148671495414651905212,692.15991851908288925824072413,8.68487672040985376788861530252e-21
42128,34745.940363151651661747332193,215.190625587206814318987001082,3.2757186899905958562548023155e-21
42129,34746.6723733442414559891450312,22.7413811222600656876453084983,1.0161127950298543702164593984e-21
42130,34747.0751636708518760503030501,15.6797287997129718975598890577,1.5304917153735670802386862356e-21
42131,34747.9291643661795169766155623,8.19980515856132513005742712102,1.23520892066381340509488491587e-22
42132,34748.2377437772371166993001014,9.70499541453923155096380705174,1.01488057321856961177236951387e-21
42133,34749.0719229356187936566757302,91.5709178235424396890400883026,9.46049259695878046693489986542e-22
42134,34750.0551900418816151534100888,108.232469187505323895187249279,2.46659865903657486325696016841e-21
42135,34750.8778837215848714483576729,27.0473644080803467002382091351,1.08317900418464292229753067868e-21
42136,34751.4085377820456328636306713,12.9570892495714773423991009734,8.56054071512139819948540463252e-22
42137,34752.0324724194026728882991716,7.37118283629553392416609195084,4.60855445404435705241713372565e-22
42138,34752.3164588824698226976871773,16.4998859995423617630119245687,1.81558782436600623951133157236e-22
42139,34753.7116942368792062530462376,237.901446133200622056852363465,1.98630983271720847852017776402e-21
42140,34754.4339044691712560795887749,45.810586487280822939697249172,1.20582962987876651484887604238e-21
42141,34754.7468126005400362419751358,67.859519604940350200230672814,2.23401356110140527204556352002e-22
42142,34756.2285565567288878038018241,69.4874781092626162027130691242,2.75013757950656264287345997717e-21
42143,34756.6027369240138079573248245,37.3495368096081018139712438488,2.46513925807009686232061426443e-21
42144,34757.4793396921830520200290036,35.1270507393211137450763745788,1.0846646445955143612193985435e-21
