PARTIAL	7	1000000000	0	1
PARTIAL	7	1000000000	1	8474221
PARTIAL	7	1000000000	2	8474796
PARTIAL	7	1000000000	3	8475123
PARTIAL	7	1000000000	4	8474021
PARTIAL	7	1000000000	5	8474630
PARTIAL	7	1000000000	6	8474742
PARTIAL	8	1000000000	0	0
PARTIAL	8	1000000000	1	12711220
PARTIAL	8	1000000000	2	1
PARTIAL	8	1000000000	3	12712340
PARTIAL	8	1000000000	4	0
PARTIAL	8	1000000000	5	12712271
PARTIAL	8	1000000000	6	0
PARTIAL	8	1000000000	7	12711702
PARTIAL	11	1000000000	0	1
PARTIAL	11	1000000000	1	5084435
PARTIAL	11	1000000000	2	5084868
PARTIAL	11	1000000000	3	5084160
PARTIAL	11	1000000000	4	5084801
PARTIAL	11	1000000000	5	5084762
PARTIAL	11	1000000000	6	5085277
PARTIAL	11	1000000000	7	5084752
PARTIAL	11	1000000000	8	5085005
PARTIAL	11	1000000000	9	5084213
PARTIAL	11	1000000000	10	5085260
PARTIAL	19	1000000000	0	1
PARTIAL	19	1000000000	1	2824460
PARTIAL	19	1000000000	2	2825205
PARTIAL	19	1000000000	3	2825169
PARTIAL	19	1000000000	4	2825071
PARTIAL	19	1000000000	5	2825566
PARTIAL	19	1000000000	6	2824896
PARTIAL	19	1000000000	7	2824792
PARTIAL	19	1000000000	8	2825113
PARTIAL	19	1000000000	9	2824352
PARTIAL	19	1000000000	10	2825150
PARTIAL	19	1000000000	11	2824827
PARTIAL	19	1000000000	12	2824859
PARTIAL	19	1000000000	13	2825345
PARTIAL	19	1000000000	14	2824701
PARTIAL	19	1000000000	15	2824245
PARTIAL	19	1000000000	16	2824143
PARTIAL	19	1000000000	17	2824741
PARTIAL	19	1000000000	18	2824898
PARTIAL	23	1000000000	0	1
PARTIAL	23	1000000000	1	2310857
PARTIAL	23	1000000000	2	2310848
PARTIAL	23	1000000000	3	2311167
PARTIAL	23	1000000000	4	2310988
PARTIAL	23	1000000000	5	2311916
PARTIAL	23	1000000000	6	2311200
PARTIAL	23	1000000000	7	2311577
PARTIAL	23	1000000000	8	2311669
PARTIAL	23	1000000000	9	2311557
PARTIAL	23	1000000000	10	2311670
PARTIAL	23	1000000000	11	2311077
PARTIAL	23	1000000000	12	2311420
PARTIAL	23	1000000000	13	2310874
PARTIAL	23	1000000000	14	2310688
PARTIAL	23	1000000000	15	2310776
PARTIAL	23	1000000000	16	2311329
PARTIAL	23	1000000000	17	2311221
PARTIAL	23	1000000000	18	2311036
