q	x	a	E_observed	E_K25	E_K50	E_K100
19	1000000	2	13.9260346424	11.2598549969	11.3529575029	11.0960383788
19	1047112	2	10.9723622011	7.87527283944	7.98346338539	9.13208477292
19	1096444	2	7.8894162581	7.74374258347	7.56083127235	7.06433508876
19	1148100	2	11.2515082581	8.7491406273	8.7401386961	9.14592540357
19	1202189	2	10.5721005096	8.63627680861	8.93981443957	8.83061457589
19	1258827	2	10.3655038834	7.94702486029	7.53941117865	7.34906472299
19	1318133	2	10.8256301726	7.36651336322	7.54507164397	8.21897902229
19	1380233	2	9.31419767621	7.06291947033	7.33061047937	6.61693823083
19	1445259	2	7.85767313973	7.02050786365	6.37278894918	6.78231722877
19	1513348	2	8.74484780469	5.93738526968	6.60668288709	6.68797876222
19	1584645	2	4.89914584485	3.45510503262	3.26410619123	2.42533558623
19	1659302	2	4.0025857938	2.27957123241	1.65102606424	1.64184800221
19	1737475	2	7.45575159474	3.68456476576	4.99618389129	5.0370490751
19	1819331	2	4.42413508023	4.75874002455	3.42117251576	2.80571280085
19	1905044	2	8.29738877657	3.66972082513	4.2852210715	5.18121783154
19	1994794	2	3.69745318967	2.45295589892	2.75115928821	2.49264237325
19	2088774	2	3.98726194045	2.86892679938	2.26871720228	2.47951714456
19	2187180	2	7.10701561927	4.30533018276	4.30578990955	4.98501151287
19	2290223	2	6.61883681246	5.38719237112	6.31280719966	6.39710390348
19	2398120	2	4.61029158437	4.84636740082	3.59090851565	3.40988828285
19	2511101	2	6.69555916539	2.93317333394	3.58000398604	3.29858493986
19	2629405	2	5.08682190292	2.071519751	2.38374218635	2.45016462129
19	2753282	2	3.53884324264	3.29608467949	2.54960101989	2.07078539682
19	2882995	2	7.72652745345	4.57470270678	5.011468549	5.27421485506
19	3018819	2	4.79176417922	4.9367910999	4.93921307862	4.40654402164
19	3161042	2	7.57608922566	5.72993821545	5.81481809404	6.01248748475
19	3309966	2	6.38676187535	6.72895310125	6.15824266031	6.11029020526
19	3465905	2	6.69735425008	6.25568566176	6.9409132692	6.94252936662
19	3629192	2	4.56693106847	4.7263745258	4.74272332596	4.90133337539
19	3800171	2	1.11915312383	3.45715205365	2.4340919342	2.04097827856
19	3979205	2	5.75930209976	1.95338090458	3.33208888226	4.55864212664
19	4166674	2	0.403235601114	-0.162292291974	-0.939137956827	-0.937930129887
19	4362975	2	-0.527000091907	-1.52142805872	-1.5853711526	-2.35078228443
19	4568524	2	-0.258279448442	-1.43752439065	-1.20570567024	-0.725861874482
19	4783758	2	0.379739963938	-0.706562526923	-0.401370127475	0.0464168618211
19	5009131	2	1.61290857861	0.822372687944	0.139134434057	-0.551588986969
19	5245122	2	6.93168358357	4.00798682843	4.24141432538	3.58085833818
19	5492231	2	10.7275368596	7.47365336728	8.10771554785	8.71809275897
19	5750982	2	8.76210743822	8.3830804891	7.516703091	6.66965933953
19	6021923	2	7.0994550835	6.57443450167	6.62601452166	6.71797274528
19	6305629	2	8.86630454732	4.78489215533	5.78534324398	6.89928337147
19	6602701	2	1.87000577442	4.40145948252	3.25815537909	1.76834566509
19	6913769	2	7.33124395203	4.1106627278	4.35616587342	5.46551481102
19	7239491	2	5.49468945795	2.99103409512	3.59891981436	4.08613075284
19	7580560	2	1.9677083654	1.73073808479	1.37802470611	1.423739387
19	7937696	2	1.92852122524	0.752268605717	-0.0534040965567	0.0574884881555
19	8311658	2	1.69114082894	0.000845869453142	1.60232965899	0.625212320213
19	8703239	2	0.974960993549	0.0151620058609	-1.12082161153	-0.481526723907
19	9113267	2	1.3377288254	1.01158986119	0.874982889542	-0.127465672396
19	9542613	2	5.05688433499	2.21616510553	3.18658366701	3.78326207211
19	9992186	2	4.12997506497	3.27719988728	2.56438691533	2.89875304895
19	10000000	2	4.31205301561	3.29564979844	2.56640620641	2.95106123342
19	10462940	2	6.11625985985	4.3290717001	4.2208338839	3.82729930362
19	10955872	2	6.69929636039	4.54655138553	5.11129464841	5.19490586376
19	11472027	2	3.36911073611	3.12800695607	2.71374482921	2.65965406336
19	12012499	2	2.28584113072	1.20507532604	1.40436954615	0.956508135092
19	12578434	2	0.497807760748	0.408661241355	0.00467669831408	-0.117349220443
19	13171031	2	4.06541712875	0.318773045806	1.16386111792	1.99346357274
19	13791547	2	-1.03585680837	-0.662971507543	-1.68709657733	-1.76882443023
19	14441297	2	0	-2.48566209829	-1.64025359816	-1.60729491922
19	15121658	2	-3.21394167917	-3.23450516873	-3.92038476034	-3.70119795723
19	15834073	2	-0.599915086875	-1.91965359747	-1.14408822575	-0.871096309461
19	16580050	2	-0.808351493844	0.128845226848	-0.697282963231	-1.70898085797
19	17361172	2	3.6006589896	1.70537530755	2.18266325689	2.43816105344
19	18179095	2	5.7866464523	3.69493206398	3.76237893324	4.95217760012
19	19035552	2	5.53223856529	6.62688659141	6.44000219772	5.73416672458
19	19932358	2	7.65744527861	8.4634286467	8.1456776723	6.58064046737
19	20871415	2	9.42942228644	7.49586923702	8.32321759867	9.04792771367
19	21854713	2	5.59607124744	5.34155349556	4.71922261803	5.40633782175
19	22884336	2	4.14460325077	4.53389488531	4.4158764678	3.51290215755
19	23962467	2	7.81018345892	5.2636630254	5.66836737079	5.98313539194
19	25091391	2	8.02049083441	6.68919890414	7.00014632203	7.18252583118
19	26273501	2	9.35900131289	9.04876119787	7.8056351132	8.53327472197
19	27511303	2	12.8742259863	11.8001438133	12.8125469423	12.3311648344
19	28807420	2	15.6104446888	11.9769685675	12.6497733521	13.1585477473
19	30164600	2	7.61983561732	8.14984751882	5.74059141997	6.01357855067
19	31585720	2	6.58144930236	4.07591991288	6.55175146332	6.19169530244
19	33073793	2	4.71469371215	3.74764335208	3.00109792323	3.19573529613
19	34631971	2	2.86737557695	5.43952860549	4.36141429897	2.88084194455
19	36263559	2	8.53273389527	6.32331563179	7.60086105336	7.79689947877
19	37972014	2	8.56454179055	8.32624324191	8.37955030366	8.13738576324
19	39760958	2	12.8373520108	12.4489156825	11.2406610926	11.5929064388
19	41634183	2	15.0743124598	14.1009128382	14.939222449	15.3316588906
19	43595660	2	13.714952504	11.3241513906	11.9150122318	11.7134524039
19	45649547	2	9.49113488736	9.18494833993	7.72435933957	8.64229733162
19	47800197	2	13.0743666203	10.7094566823	11.6122584364	11.6312954367
19	50052168	2	12.6748036713	13.1223387576	13.415553212	12.493208612
19	52410235	2	16.219245829	14.6739707379	13.9443402082	14.6503562157
19	54879395	2	15.9778271395	15.3958182115	15.4560489412	15.7923934294
19	57464883	2	14.9333717251	13.8215870821	14.5137632189	14.3161188855
19	60172178	2	11.3058988672	10.9272684047	10.4933104109	10.1258521473
19	63007021	2	10.0996420078	10.637394484	9.93977747265	8.9872499682
19	65975419	2	16.3588741344	12.50749337	14.0507313635	14.0758055196
19	69083665	2	14.1120196018	13.2370414065	11.9204019519	12.2902759927
19	72338346	2	15.1282487953	13.7969164119	14.3046317935	14.6774736561
19	75746363	2	13.9210583174	15.1097044768	14.8448917631	14.2495161526
19	79314940	2	16.8371198543	13.8444447824	14.8604497898	15.6896710599
19	83051639	2	9.94060028619	10.3880403025	8.46192550444	8.32442457604
19	86964383	2	12.5618024793	9.65823688209	11.4516119012	11.7729326166
19	91061464	2	11.9266023246	10.7764485294	10.3977694767	10.6199018784
19	95351568	2	11.0748623172	9.33024916176	8.05777931099	8.08184649687
19	99843788	2	9.52275680157	7.25787299134	9.08572420386	8.41946075533
19	100000000	2	10.0134820524	7.23192316198	9.11171680072	8.5642849192
19	104547647	2	6.85884124434	7.68712704842	6.76669275774	5.92082917387
19	109473114	2	9.64929814278	7.867624928	7.27798093181	7.90789693622
19	114630631	2	8.26763100577	6.48783211685	7.98576237539	7.89052083246
19	120031129	2	6.84640636436	6.4462212722	5.13134803422	5.7131004234
19	125686057	2	8.47379342319	6.6771130173	7.176641163	7.20441337953
19	131607401	2	6.01339087029	4.33797379962	4.52489853864	4.80517723023
19	137807713	2	3.73577255204	3.03503778102	2.62171990652	2.18477970701
19	144300134	2	6.95349122197	6.58962054423	6.97333627484	5.94759298414
19	151098428	2	11.1417548023	10.8296599672	10.4434262208	10.7139101253
19	158217004	2	12.238666859	10.6484451937	11.0659121757	11.6931985099
19	165670951	2	8.20462438182	7.26307125291	6.97095583868	7.20193585841
19	173476071	2	5.02987585709	4.08055037125	4.0826922113	3.98999668051
19	181648906	2	3.58121685663	2.90058880065	3.08785244621	2.90696287669
19	190206782	2	6.61830182499	4.11199072378	4.07271454491	4.39688775161
19	199167838	2	5.33777102622	5.41069090339	5.06718255758	4.79823477914
19	208551068	2	6.78082503111	3.67958116039	4.27975236214	5.07407373393
19	218376363	2	0.0935556571414	0.0648270862478	-0.429390967382	-0.989156661071
19	228664549	2	0.870636813716	-1.88527322635	-1.7449198605	-2.06563413076
19	239437434	2	0.78552924412	-2.06571968023	-1.89387271512	-1.65091362042
19	250717853	2	-3.38573875833	-2.49767199475	-2.80321396152	-3.8049412481
19	262529718	2	-0.452259781333	-2.84137561505	-2.48499332992	-2.84849692574
19	274898064	2	0.210960999861	-1.79816334333	-2.24515989907	-1.75900412268
19	287849111	2	2.43845780794	-0.682386245875	-0.123199903002	1.20084507433
19	301410309	2	-1.96351222762	-2.26318715086	-2.87518783629	-2.87789339107
19	315610406	2	-5.86921216658	-6.55762480541	-5.95007125947	-6.11602487369
19	330479499	2	-11.7507961578	-9.90465225869	-10.4917163949	-11.3531630944
19	346049108	2	-6.7540099869	-9.64566373579	-9.16338774498	-8.2325842725
19	362352235	2	-7.06303896546	-7.81889792161	-7.9939017971	-7.87762417609
19	379423438	2	-7.32003979087	-7.45683454971	-7.67854971654	-8.07398332483
19	397298903	2	-8.13569734357	-8.10848083213	-7.8201550297	-8.008628416
19	416016520	2	-7.39107839597	-8.2273528728	-7.9490055685	-8.92405727761
19	435615964	2	-7.87440372159	-7.7038283976	-8.84878879606	-8.35717643555
19	456138781	2	-3.61285689448	-5.76473929078	-4.29879547448	-4.11342340178
19	477628472	2	-2.81457873848	-1.9175059247	-2.65989079017	-2.40100607771
19	500130590	2	1.28976315739	0.947130082026	0.460844502597	0.6094427618
19	523692831	2	2.92140724769	0.704171102226	1.75040392772	1.76584431484
19	548365141	2	0.773372078694	0.58396657462	0.227531396871	0.0640722622484
19	574199817	2	2.86336113311	3.32112187048	2.44609608731	2.42676591238
19	601251621	2	8.85894951996	5.77796996322	7.15775834344	6.93141789033
19	629577895	2	6.24982235669	5.04779352864	4.30481867117	5.1502739335
19	659238680	2	3.80101478629	3.60757754184	3.47613333674	3.05154853078
19	690296850	2	3.6811123471	3.99957329922	4.10627068581	3.65116060595
19	722818239	2	5.94085602927	4.85620334529	5.63901141462	5.69969883044
19	756871780	2	3.71866435296	5.37450526417	4.08462757264	4.25449904198
19	792529658	2	9.94406999026	7.82225420791	8.2194161413	8.79438092377
19	829867457	2	13.2813054741	12.7004876107	14.0992917651	13.4846508536
19	868964320	2	13.887962377	15.9447972494	13.4713834405	13.9634687155
19	909903122	2	16.0765588596	14.2970431055	16.0391061951	15.2663755374
19	952770639	2	10.0189554102	10.4897706505	10.7148556499	10.4529190707
19	997657739	2	8.89171931289	9.04558748781	7.22696423902	7.00358453528
19	1000000000	2	8.78793783272	9.04974612407	7.49477476353	7.13359892039
19	1044659568	2	13.1035172065	9.40114314225	11.383056041	12.1323612235
19	1093875756	2	6.66040088934	8.49126527299	7.42847235267	7.71821114989
19	1145410625	2	8.56452517636	7.27301081458	7.45994136511	7.68396193623
19	1199373415	2	8.21426322993	8.03656771581	7.99555214999	8.32975949602
19	1255878508	2	8.24721368864	8.78544317641	9.16474374447	9.07496677216
19	1315045680	2	6.74320640197	7.14501301998	6.59926970191	6.55196909356
19	1377000346	2	3.30720962026	5.26149554028	5.4814108687	4.16628099868
19	1441873832	2	6.24811754102	5.252661864	5.64022676032	5.56970529349
19	1509803648	2	5.50244716567	5.77470725344	4.90851467902	5.29137603625
19	1580933787	2	7.83411519811	6.32121667762	7.27696500052	7.68493328161
19	1655415021	2	7.24049994866	7.76234551708	7.11980566887	6.79283876906
19	1733405228	2	9.29842879221	8.24334029624	8.35788284556	9.03995859492
19	1815069724	2	6.0349742315	6.12997117283	6.44088617572	6.13834147985
19	1900581611	2	4.13726785168	4.65906384006	4.30430396461	4.21037409239
19	1990122151	2	7.57667312478	6.79340886131	6.81773586217	6.45239819939
19	2083881140	2	12.1582727095	9.92379996005	10.244988414	11.2925366694
19	2182057319	2	9.53728127794	10.6591410269	10.3818196988	10.1055669295
19	2284858792	2	7.70100924717	9.33406230755	9.1519945767	8.43803804779
19	2392503466	2	9.80678773026	7.61305776068	8.26301341921	8.66668339291
19	2505219515	2	6.38195410961	7.07571237444	6.37415987513	5.95250447911
19	2623245863	2	10.6707293428	9.03021126552	9.34634686307	9.7072378465
19	2746832689	2	12.5325963502	11.4270175477	11.5882801798	11.7085064322
19	2876241959	2	10.416637696	10.3191175124	9.91354739337	10.0776379278
19	3011747983	2	8.94119427694	6.93579800379	7.2783816315	6.92014755961
19	3153637990	2	6.30948727443	6.56575692943	6.53643520154	6.44632174757
19	3302212744	2	10.0647286792	9.69159780231	9.20457141575	8.82740766815
19	3457787179	2	13.0432091313	11.7729785119	12.8170407061	13.369351171
19	3620691064	2	10.3831024547	10.9606749347	9.72988371721	9.35430255252
19	3791269706	2	11.0449467756	9.49539036793	10.1760750695	11.4513176452
19	3969884679	2	10.2478724324	9.40298482851	9.77493874329	9.05781221966
19	4156914593	2	9.34300749482	10.8347470738	9.80700184118	8.52237742517
19	4352755893	2	15.1076859603	12.4894937659	13.001454135	13.9978414303
19	4557823704	2	15.3874997234	12.9123584038	13.8250489312	15.0555329779
19	4772552705	2	8.82043301705	12.660673313	10.6292102526	9.56672114292
19	4997398058	2	13.6699264841	12.8038932745	14.6604923386	14.5835067345
19	5232836365	2	11.5042886673	12.0162411664	11.3605488351	11.3701127956
19	5479366683	2	7.29049070252	9.53219490104	9.16143842449	8.56483445302
19	5737511582	2	8.74114052208	7.33866334253	7.76968982071	8.45455296897
19	6007818249	2	3.64978340091	5.18422173669	5.23449132813	4.20803796327
19	6290859651	2	3.68155243639	0.768679106308	0.681873895361	2.01928124746
19	6587235751	2	-4.22686422549	-2.94693995019	-3.53739489182	-3.65514423348
19	6897574775	2	0.991810986626	-1.56615286066	-0.354269309671	-0.423974892285
19	7222534545	2	-1.16353095055	0.9830420759	0.00639913636201	-0.733069163199
19	7562803878	2	1.83145148343	-0.481219600384	-0.384169212044	0.311103746771
19	7919104041	2	-0.742255042935	-1.592033416	-1.14602862048	-1.23724684887
19	8292190280	2	2.20757685507	2.06815420706	1.9406378621	1.84014301043
19	8682853425	2	7.26310736383	5.19796950298	4.73002523346	5.35858916376
19	9091921561	2	4.25514720031	3.84264297635	4.23969694131	3.50436461476
19	9520261788	2	4.19634015479	2.68636719545	3.10894407282	3.14533527622
19	9968782056	2	2.0835881726	4.07984771944	3.02508412128	2.69628627086
19	10000000000	2	2.98415028052	4.17604498788	3.24333537099	2.84786295027
19	10438433091	2	6.25486190666	4.42248129753	5.08334883041	5.27861159423
19	10930210409	2	3.70508347633	3.3998866721	3.87352372209	3.65236488983
19	11445156427	2	5.13217643986	3.32290535077	2.07880394507	3.05743080668
19	11984362674	2	3.6135290821	2.56404944992	3.53721210381	3.3336101957
19	12548972102	2	-0.881774714353	0.00760900022065	-0.0956341896975	-0.466938352486
