N,C_W,C_W_source,C_W_direct,C_alt_positive,C_fast_proxy,C_fast_minus_direct,J_direct_inclusive,J_fast_inclusive,J_fast_minus_direct,Phi,n,T_N,Jordan_sum
100,0.49678355062943746,direct_longdouble,0.49678355062943746,0.5442302913029542,0.49147149967147574,-0.0053120509579617226,14.960392449999693,14.960392449999722,2.842170943040401e-14,3044,3045,-4.635865703573034,187.79644080714272
1000,0.6347614724885292,direct_longdouble,0.6347614724885292,0.6419922337590419,0.6342156596295548,-0.0005458128589743705,192.92332993403852,192.92332993403355,-4.973799150320701e-12,304192,304193,-9.19342982563858,2332.4668188596797
2000,0.6544814695623353,direct_longdouble,0.6544814695623353,0.6576590539302017,0.6542080172088096,-0.00027345235352571606,397.95081162000685,397.95081162001566,8.810729923425242e-12,1216588,1216589,-7.595469588459702,4789.600678617107
10000,0.6661487750566201,fast_Mertens_proxy,,,0.6661487750566201,,,2024.9248063700759,,30397486,30397487,-28.14793277351034,24354.39354198793
100000,0.6681239623624776,fast_Mertens_proxy,,,0.6681239623624776,,,20308.635059605727,,3039650754,3039650755,-50.015575746939476,243802.6518667626
300000,0.6986970628531162,fast_Mertens_proxy,,,0.6986970628531162,,,63713.59938327413,,27356748484,27356748485,142.36808970929775,764277.456419871
1000000,0.6793049653627863,fast_Mertens_proxy,,,0.6793049653627863,,,206483.95042919702,,303963552392,303963552393,138.62967851291813,2477529.1457933383
3000000,0.6824976669641353,fast_Mertens_proxy,,,0.6824976669641353,,,622363.3487508061,,2735672422966,2735672422967,5.7626998756818,7468347.659609921
10000000,0.6963801785774393,fast_Mertens_proxy,,,0.6963801785774393,,,2116742.011690628,,30396356427242,30396356427243,605.7254646887294,25399691.689358156
