# generator=PARI/GP lfunzeros height=80 divz_a=64 divz_b=96 precision_digits=38
# PHASE	q	conrey_m	conductor	character_order	a	chi_phase_turns
# CHECK	q	conrey_m	count_a	count_b	max_abs_difference	max_abs_lfun_at_zero	status
# ZERO	q	conrey_m	index	gamma
PHASE	7	2	7	3	1	0
PHASE	7	2	7	3	2	2/3
PHASE	7	2	7	3	3	1/3
PHASE	7	2	7	3	4	1/3
PHASE	7	2	7	3	5	2/3
PHASE	7	2	7	3	6	0
CHECK	7	2	44	44	0.e-38	5.95873469210069625118768899991 e-37	PASS
ZERO	7	2	1	4.3564016247362842272795747905155191330
ZERO	7	2	2	8.7855547144990753655801574631761923591
ZERO	7	2	3	10.736119987493393115874241535048943051
ZERO	7	2	4	12.532547822686274008072304800387836424
ZERO	7	2	5	15.937448204687959556889573998904075463
ZERO	7	2	6	17.616053198876542410300801666453991904
ZERO	7	2	7	20.030558985082030289942065645515781396
ZERO	7	2	8	21.314647244104255951820279025940930753
ZERO	7	2	9	23.203672461346655378261748058933622481
ZERO	7	2	10	26.169944908019835659672425176293133219
ZERO	7	2	11	27.873375490224893085505493011234242235
ZERO	7	2	12	28.599793774440895989801620890822155187
ZERO	7	2	13	30.919560932656555882105651872661678379
ZERO	7	2	14	32.610088594314038643381979302468442990
ZERO	7	2	15	34.792503395552266192070199196035662385
ZERO	7	2	16	36.344755846801019274142099761276016437
ZERO	7	2	17	38.206755425173634689935115202777302370
ZERO	7	2	18	39.338483146485635942205650475519127590
ZERO	7	2	19	40.476471625192229604298983514113703452
ZERO	7	2	20	43.539481156902262050279499562673625914
ZERO	7	2	21	44.595771534779446124833225142155422701
ZERO	7	2	22	46.096098653016577564786969576350432524
ZERO	7	2	23	47.491559240348950364879743996611759712
ZERO	7	2	24	49.126475149698352093498903168160253448
ZERO	7	2	25	50.625247641703104914400206883935936953
ZERO	7	2	26	52.314697094983259102067275373354665920
ZERO	7	2	27	54.616631873632687636793561946620921242
ZERO	7	2	28	55.410336857827162241946608518072216005
ZERO	7	2	29	56.719618231150367875337766523123903454
ZERO	7	2	30	57.985235089295674587347684332375711108
ZERO	7	2	31	59.853999760111669362344266478704209931
ZERO	7	2	32	62.133584051981333881117211927618469037
ZERO	7	2	33	62.813256648591700968639002056333429597
ZERO	7	2	34	64.282821793709186087715431279565248026
ZERO	7	2	35	66.123081119778747488002129878445861011
ZERO	7	2	36	67.171243976782511052745058317806077467
ZERO	7	2	37	68.139569053100131362943479691730889465
ZERO	7	2	38	70.545566163946427858139137107430505544
ZERO	7	2	39	72.120933247473783062936033870624615853
ZERO	7	2	40	73.176110359992467381184161815565807356
ZERO	7	2	41	74.564510786388400360325945633670054589
ZERO	7	2	42	75.280216428366302097852977515784822556
ZERO	7	2	43	77.363692367552019917273613262114183344
ZERO	7	2	44	78.916541204078270588632970505381194377
PHASE	7	3	7	6	1	0
PHASE	7	3	7	6	2	1/3
PHASE	7	3	7	6	3	1/6
PHASE	7	3	7	6	4	2/3
PHASE	7	3	7	6	5	5/6
PHASE	7	3	7	6	6	1/2
CHECK	7	3	45	45	0.e-38	6.59847368412831325513183065602 e-37	PASS
ZERO	7	3	1	5.1981161994665455860842840743039540344
ZERO	7	3	2	8.4136109914711775984575235545472744237
ZERO	7	3	3	9.9798959020913931506058129135426201742
