p,M,M_over_sqrtp,A_raw,B_raw,C_raw,N_raw,NA,CA,BA,margin,deltaW_sign
41539,-12,-0.058878,6.9907551222e+08,6.2738964323e+08,8.7379690380e+07,6.8800763658e+08,0.9841678396,0.1249932072,0.8974561864,1.0066172333,-1
41641,-18,-0.088209,7.0240321619e+08,1.2322545256e+09,8.7816425050e+07,6.9203129779e+08,0.9852336690,0.1250228117,1.7543406653,1.8645971460,-1
41771,-22,-0.107643,7.0818798764e+08,1.4228143699e+09,8.8353128940e+07,6.9732248861e+08,0.9846573237,0.1247594290,2.0090913637,2.1185081164,-1
41897,-24,-0.117252,7.1073422626e+08,1.5895505831e+09,8.8891860696e+07,7.0079473887e+08,0.9860151840,0.1250704657,2.2364908350,2.3475764847,-1
41999,-38,-0.185423,7.1707951305e+08,2.5437577218e+09,8.9288535822e+07,7.0630513572e+08,0.9849746407,0.1245169248,3.5473858554,3.6568774209,-1
42131,-44,-0.214364,7.2455559383e+08,2.8594384691e+09,8.9887589596e+07,7.1152238590e+08,0.9820121354,0.1240589271,3.9464721458,4.0525432083,-1
42227,-48,-0.233586,7.2713399028e+08,3.5082486539e+09,9.0261516204e+07,7.1552187986e+08,0.9840303017,0.1241332649,4.8247622869,4.9329258535,-1
42359,-57,-0.276950,7.3436740134e+08,3.9662632949e+09,9.0832252405e+07,7.2163472577e+08,0.9826617092,0.1236877512,5.4009250516,5.5072745119,-1
42457,-61,-0.296043,7.4228995510e+08,4.6215250877e+09,9.1281630805e+07,7.2609058792e+08,0.9781764968,0.1229730110,6.2260374884,6.3271869962,-1
42571,-69,-0.334420,7.5154211897e+08,5.0868110258e+09,9.1795558146e+07,7.3127901761e+08,0.9730379697,0.1221429323,6.7684975964,6.8636784984,-1
42701,-66,-0.319393,7.5302969690e+08,5.0668736733e+09,9.2345389469e+07,7.3527503248e+08,0.9764223583,0.1226318030,6.7286505355,6.8277046967,-1
42797,-79,-0.381874,7.6700218223e+08,6.1644804972e+09,9.2742152932e+07,7.4493324389e+08,0.9712270201,0.1209151096,8.0371094633,8.1292515931,-1
42937,-85,-0.410207,7.7485211484e+08,6.6654003357e+09,9.3354427833e+07,7.5046570393e+08,0.9685276578,0.1204803162,8.6021580223,8.6911659963,-1
43051,-68,-0.327731,7.6925772470e+08,5.8453079964e+09,9.3871394939e+07,7.4839064167e+08,0.9728737426,0.1220285373,7.5986341232,7.6935364031,-1
43207,-58,-0.279030,7.6954861629e+08,5.1864440775e+09,9.4522308012e+07,7.5339539080e+08,0.9790094802,0.1228282476,6.7395924933,6.8414302211,-1
43397,-40,-0.192013,7.6567862477e+08,3.6945610658e+09,9.5366286010e+07,7.5319732716e+08,0.9836990387,0.1245513234,4.8252111870,4.9334615491,-1
43541,-33,-0.158148,7.6813211614e+08,3.1192916858e+09,9.5997483772e+07,7.5706107123e+08,0.9855870563,0.1249752246,4.0608791382,4.1714414192,-1
43649,-32,-0.153166,7.7370358792e+08,3.3022944800e+09,9.6476377813e+07,7.6150100800e+08,0.9842283529,0.1246942360,4.2681648781,4.3770874670,-1
43783,-25,-0.119478,7.7599274273e+08,3.0163091654e+09,9.7059945724e+07,7.6589802078e+08,0.9869912160,0.1250784194,3.8870326992,3.9991023347,-1
43951,-13,-0.062010,7.7908511075e+08,1.9944838803e+09,9.7820264742e+07,7.6994615269e+08,0.9882696281,0.1255578670,2.5600333683,2.6738608635,-1
44041,-23,-0.109597,7.8391391606e+08,2.8822314610e+09,9.8225425063e+07,7.7331737108e+08,0.9864825145,0.1253012902,3.6767193463,3.7885031510,-1
44159,-15,-0.071381,7.8900080144e+08,2.6436931482e+09,9.8708354155e+07,7.7942692492e+08,0.9878658216,0.1251055182,3.3506849972,3.4636563370,-1
44269,-9,-0.042775,7.9446921694e+08,2.6554717591e+09,9.9255201647e+07,7.8330979534e+08,0.9859536136,0.1249327218,3.3424476399,3.4533339752,-1
45083,-4,-0.018839,8.2159906055e+08,2.2861077641e+09,1.0289920438e+08,8.1147720207e+08,0.9876802945,0.1252426023,2.7825101974,2.8954330942,-1
45247,-5,-0.023506,8.2559323447e+08,1.9571765977e+09,1.0366072556e+08,8.1536166668e+08,0.9876070111,0.1255590783,2.3706306156,2.4837967050,-1
