p,M,M_over_sqrtp,A_raw,B_raw,C_raw,N_raw,NA,CA,BA,margin,deltaW_sign
22739,-21,-0.139262,2.0885549799e+08,6.2662296467e+08,2.6162843314e+07,2.0608646131e+08,0.9867418540,0.1252676782,3.0002703817,3.1122799139,-1
22861,-25,-0.165346,2.1151057826e+08,6.7803900073e+08,2.6467137946e+07,2.0831109412e+08,0.9848731720,0.1251338735,3.2056978251,3.3157048706,-1
23003,-21,-0.138461,2.1295728275e+08,5.7321202570e+08,2.6781722549e+07,2.1037787808e+08,0.9878876898,0.1257610080,2.6916760878,2.8053247856,-1
23071,-33,-0.217260,2.1703714705e+08,9.3741446135e+08,2.6942324727e+07,2.1325102868e+08,0.9825554362,0.1241369281,4.3191429398,4.4258353042,-1
23201,-35,-0.229781,2.1926576817e+08,9.5013137534e+08,2.7255888847e+07,2.1524921359e+08,0.9816817983,0.1243052624,4.3332408122,4.4392278728,-1
23327,-34,-0.222612,2.2161874328e+08,8.7254629887e+08,2.7530525899e+07,2.1837630433e+08,0.9853692928,0.1242247181,3.9371502877,4.0467442985,-1
23497,-30,-0.195711,2.2362223221e+08,6.3753426476e+08,2.7955571808e+07,2.2025152995e+08,0.9849268017,0.1250124888,2.8509431217,2.9608824122,-1
23599,-40,-0.260383,2.2747108500e+08,7.8144641052e+08,2.8193795121e+07,2.2311994715e+08,0.9808716882,0.1239445230,3.4353659082,3.5401821194,-1
23689,-36,-0.233899,2.2847667986e+08,8.7930526797e+08,2.8417518308e+07,2.2453539634e+08,0.9827497339,0.1243782005,3.8485558724,3.9556838068,-1
23819,-38,-0.246219,2.3150660318e+08,9.1674517808e+08,2.8720093544e+07,2.2726487548e+08,0.9816777248,0.1240573407,3.9599094172,4.0656444827,-1
23911,-44,-0.284547,2.3508481335e+08,1.2168449857e+09,2.8937114005e+07,2.3012948615e+08,0.9789211088,0.1230922304,5.1761956393,5.2782089785,-1
24029,-52,-0.335456,2.3812465288e+08,1.3749324336e+09,2.9217797771e+07,2.3328287628e+08,0.9796670502,0.1226995921,5.7740028885,5.8763695308,-1
24113,-65,-0.418589,2.4414630913e+08,1.7014678655e+09,2.9439208920e+07,2.3634730433e+08,0.9680560201,0.1205801924,6.9690501223,7.0576863347,-1
24239,-66,-0.423923,2.4664664304e+08,1.7165309770e+09,2.9728148841e+07,2.3996463578e+08,0.9729085822,0.1205293065,6.9594743148,7.0529122035,-1
24407,-52,-0.332848,2.4480184545e+08,1.2867348917e+09,3.0145348022e+07,2.4024692828e+08,0.9813934525,0.1231418332,5.2562303579,5.3607656436,-1
24527,-54,-0.344803,2.4801089347e+08,1.3581823156e+09,3.0439087862e+07,2.4293890886e+08,0.9795493474,0.1227328664,5.4763010469,5.5785832608,-1
24683,-44,-0.280062,2.4832368484e+08,1.0899822054e+09,3.0840345119e+07,2.4402327049e+08,0.9826822224,0.1241941345,4.3893606288,4.4962369857,-1
24821,-31,-0.196767,2.4845164068e+08,8.1064415536e+08,3.1186734791e+07,2.4558093172e+08,0.9884456027,0.1255243665,3.2627844724,3.3767544416,-1
24953,-22,-0.139271,2.5043346485e+08,6.0756672917e+08,3.1522611352e+07,2.4787285386e+08,0.9897752843,0.1258722007,2.4260604689,2.5417079539,-1
25087,-15,-0.094704,2.5302418289e+08,4.9283447529e+08,3.1856395025e+07,2.5008241586e+08,0.9883735736,0.1259025705,1.9477761756,2.0620523197,-1
25189,-3,-0.018902,2.5501773247e+08,3.5561187520e+08,3.2119196764e+07,2.5217620000e+08,0.9888575103,0.1259488760,1.3944594039,1.5092657901,-1
25463,-5,-0.031334,2.6234622194e+08,2.8766300179e+08,3.2824620657e+07,2.5858382534e+08,0.9856586591,0.1251194716,1.0965014082,1.2072795389,-1
25603,-11,-0.068746,2.6612559473e+08,3.4988904749e+08,3.3186236110e+07,2.6199048312e+08,0.9844618042,0.1247014070,1.3147515850,1.4239147962,-1
25717,-14,-0.087301,2.6821775725e+08,4.9715501869e+08,3.3477926818e+07,2.6391909238e+08,0.9839732279,0.1248162208,1.8535499804,1.9623394291,-1
25847,-7,-0.043540,2.6999560460e+08,4.1425416781e+08,3.3808274763e+07,2.6626233933e+08,0.9861728665,0.1252178709,1.5342996729,1.6456904103,-1
25951,-4,-0.024830,2.7241792686e+08,4.4342415489e+08,3.4096312547e+07,2.6845339899e+08,0.9854468907,0.1251617797,1.6277348558,1.7383435262,-1
26729,-5,-0.030583,2.8886135667e+08,6.5140149376e+08,3.6159257661e+07,2.8511710018e+08,0.9870378768,0.1251785911,2.2550662410,2.3672827090,-1
26861,-11,-0.067117,2.9116145479e+08,7.2014110637e+08,3.6526015791e+07,2.8738925254e+08,0.9870442939,0.1254493519,2.4733394291,2.5858330749,-1
