index,gamma_refined,abs_zeta_prime_sq,residual
62500,49286.2471254982485195927698245,42.6948696283277788349973151154,1.97448908727500002777398214773e-21
62501,49287.081899169493629190753532,149.640640831906683646595623751,2.39374842466201475654476230864e-21
62502,49287.9158874013042486713341778,112.51632926820519773645671101,3.90216773046379568789281581633e-21
62503,49288.6150616694873229032330128,61.7564581433655961796657743929,5.08049227215774201761668180157e-23
62504,49289.3454826016265615109773029,26.6245369915716210416247471697,1.88856428429812785013732724552e-21
62505,49289.9212651298729350653161028,14.4202454522669372271096773491,1.39399851966014982711929676655e-21
62506,49290.4648356382907392746275091,18.040456439401782664084773675,7.27191823861677823929457148251e-22
62507,49291.2260576495050179241353776,17.0729897475851474527581309093,1.34130486039812848342845314992e-21
62508,49291.6241249984349183841464965,27.4455455496839650831078267391,3.82880244346758498891890074808e-23
62509,49292.5169695634390886650691536,141.14358986465469793717612999,2.38970613855065333067826599841e-23
62510,49293.113491826040296433718907,306.759071330621864346602425119,5.04896647274167979829885423736e-22
62511,49294.2488692811787158890032185,412.695331990276169941661450175,5.74055437038750518379228040462e-21
62512,49294.8655139969673077048730688,252.603625764941072841789532673,5.24526120991309097414944822409e-21
62513,49295.741540884240810780748192,152.650394214758563622153620864,3.75060583965710511522508450458e-21
62514,49296.6021548455911527808700922,13.3685524100522619247216560106,1.3827806711969045381326465487e-21
62515,49297.0375625836063251132670376,3.05258997673381446723417913802,5.88881570061653784195248289562e-22
62516,49297.3692782708933054117159795,4.92493554609992001453920563574,4.93271453497972469041777294582e-22
62517,49298.1944572978680829330316979,19.5807894488058864643371957352,3.52674421295698037077223535248e-22
62518,49298.6064122675421010441210807,43.990800638006328778352634807,1.57464656213878373387721452405e-21
62519,49299.9165650120886547369941318,79.3642969954453439476370275886,5.12421971609547793705954182818e-22
62520,49300.4227815037416412168570959,29.7349744746997738208165490292,2.7841808034709865769758270973e-22
62521,49301.0092510139269517245479289,29.6629506989487442411571501774,7.43652662397613124673971558932e-22
62522,49301.5720482239003326904473043,57.5878616079539755196290016844,8.78525045303466505261055774653e-22
62523,49302.3531843173898215680228981,153.597560065622040538580775278,3.76819346819940425099645255291e-21
62524,49303.0331070667873554583875828,333.11817653024724753470808518,1.56266219779630668476415162034e-21
62525,49304.2043460401926681362463916,134.676786873714684835975192536,3.3100834718945042470338365596e-21
62526,49304.7635773855537202190949602,23.8552279704462969349725776154,1.07007922833911932094386852235e-21
62527,49305.0778540078733938258189943,36.793601948773677938062083333,6.26169425664355993374104206004e-22
62528,49306.3539277025839685738939207,55.0214231495783994349525290377,8.80968833815648628461448001262e-22
62529,49306.8276792605339435040869877,21.9249964182259021431398264724,8.02500741826808495622025754062e-22
62530,49307.6458359701087939204123443,1.32732041565064012687808437352,3.7670149334939325306074229623e-22
62531,49307.7737466703363104003155352,1.43870365489697316006046673682,3.23755165116714901482092987815e-22
62532,49308.8125541191052860447727252,26.8945689388919049108673059901,2.14190277604355563737316070339e-21
62533,49309.3701831186327077288931929,16.3829956151733869828282573725,1.3283974401663780125899127486e-21
62534,49309.8545285294946738426390693,30.1321547540976473800377944115,1.61868217184637967164783442218e-21
62535,49310.4617513828585544652011986,210.284234372145654186975073999,6.05892825490190790319518820972e-21
